"","Hylobates lar","Macaca fascicularis","Pongo pygmaeus","Presbytis thomasi"
"Sterculia campanulata",0,0,0,1
"Strombosia ceylanica",0,1,0,4
"Strychnos axillaris",0,0,1,1
"Terminalia bellirica",0,0,0,5
"Tetrastigma hookeri",2,1,2,0
"Tetrastigma lanceolarium",1,1,0,0
"Tetrastigma papillosum",0,0,0,1
"Tinomiscium phytocrenoides",1,22,6,1
"Trema orientalis",2,1,0,0
"Trevesia sundaica",0,0,0,1
"Turpinia sphaerocarpa",7,73,2,22
"Unidentified Ungar1995.unidsp.1",0,0,2,0
"Unidentified Ungar1995.unidsp.10",0,0,0,1
"Unidentified Ungar1995.unidsp.11",0,0,0,1
"Unidentified Ungar1995.unidsp.12",0,0,1,0
"Unidentified Ungar1995.unidsp.13",0,0,2,0
"Unidentified Ungar1995.unidsp.14",0,0,0,6
"Unidentified Ungar1995.unidsp.15",0,0,1,0
"Unidentified Ungar1995.unidsp.16",0,0,0,2
"Unidentified Ungar1995.unidsp.17",1,0,0,0
"Unidentified Ungar1995.unidsp.18",0,0,1,0
"Unidentified Ungar1995.unidsp.19",0,1,0,0
"Unidentified Ungar1995.unidsp.2",0,2,0,0
"Unidentified Ungar1995.unidsp.20",0,0,1,0
"Unidentified Ungar1995.unidsp.21",0,0,1,0
"Unidentified Ungar1995.unidsp.22",0,1,0,0
"Unidentified Ungar1995.unidsp.3",4,0,0,0
"Unidentified Ungar1995.unidsp.4",1,0,0,0
"Unidentified Ungar1995.unidsp.5",2,1,0,6
"Unidentified Ungar1995.unidsp.6",0,0,0,1
"Unidentified Ungar1995.unidsp.7",0,0,3,0
"Unidentified Ungar1995.unidsp.8",0,6,0,0
"Unidentified Ungar1995.unidsp.9",0,0,0,1
"Ventilago oblongifolia",0,0,1,0
"Xerospermum noronhianum",0,5,1,0
