"","Aburria cumanensis","Alouatta seniculus","Amazona farinosa","Amazona ochrocephala","Ara macao","Ara severus","Aratinga leucophthalma","Ateles belzebuth","Aves Stevenson2015.unidsp.mult","Baryphthengus martii","Brotogeris cyanoptera","Cacicus cela","Cacicus haemorrhous","Cacicus solitarius","Campephilus melanoleucos","Capito auratus","Catharus ustulatus","Celeus elegans","Celeus flavus","Celeus grammicus","Chlorophanes spiza","Cissopis leverianus","Claravis pretiosa","Cotinga cayana","Cotinga maynana","Cyanerpes caeruleus","Cyanocorax violaceus","Dacnis cayana","Dacnis lineata","Empidonomus varius","Eubucco richardsoni","Euphonia laniirostris","Euphonia minuta","Euphonia rufiventris","Euphonia Stevenson2015.unidsp.991","Forpus conspicillatus","Gymnoderus foetidus","Hemithraupis flavicollis","Icterus cayanensis","Lagothrix lagothricha","Legatus leucophaius","Lepidothrix coronata","Lipaugus vociferans","Machaeropterus regulus","Melanerpes cruentatus","Mionectes oleagineus","Momotus momota","Myiodynastes maculatus","Myiozetetes similis","Myrmotherula axillaris","Ortalis motmot","Pachyramphus castaneus","Patagioenas plumbea","Patagioenas subvinacea","Penelope jacquacu","Piaya cayana","Piculus flavigula","Piculus rivolii","Piculus Stevenson2015.unidsp.195","Pionites melanocephalus","Pionus menstruus","Pipra erythrocephala","Pipra filicauda","Pipridae Stevenson2015.unidsp.mult","Piranga flava","Piranga Stevenson2015.unidsp.976","Pitangus sulphuratus","Porphyrolaema porphyrolaema","Psarocolius angustifrons","Psarocolius bifasciatus","Psarocolius decumanus","Psarocolius viridis","Psittacidae Stevenson2015.unidsp.363","Psophia crepitans","Pteroglossus azara","Pteroglossus castanotis","Pteroglossus inscriptus","Pteroglossus pluricinctus","Pteroglossus Stevenson2015.unidsp.942","Pyrrhura melanura","Querula purpurata","Ramphastos tucanus","Ramphastos vitellinus","Ramphocelus carbo","Ramphocelus nigrogularis","Ramphotrigon ruficauda","Rhytipterna simplex","Saimiri sciureus","Sapajus apella","Sciurus igniventris","Selenidera reinwardtii","Setophaga fusca","Setophaga striata","Tachyphonus luctuosus","Tachyphonus surinamus","Tangara callophrys","Tangara nigrocincta","Tangara schrankii","Tangara velia","Taraba major","Tersina viridis","Thraupis episcopus","Thraupis palmarum","Tityra cayana","Trogon curucui","Trogon melanurus","Trogon rufus","Trogon viridis","Turdus albicollis","Turdus ignobilis","Turdus Stevenson2015.unidsp.18","Tyrannidae Stevenson2015.unidsp.139","Tyrannus melancholicus","Tyrannus savana","Tyrannus tyrannus","Vireo leucophrys","Vireo Stevenson2015.unidsp.131","Xenopipo holochlora"
"Eugenia nesiotica",0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus davidsoniae",12.9,20.5,0,0,0,0,0,22.3,0.8,0,1.8,0.2,0,0,0,1.9,0,1,0,0,0.3,0.3,0,0,0,0.1,4.8,0,0,0,0,0,0,0,0,2.3,0,0,0,3.5,0,0.1,0,0,0.6,0,0.9,0,0,0,0.7,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.6,0,0,0,1.9,0,0.8,1.4,0,0,0,0.9,0,0,2.1,0,0,0,4.9,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus insipida",0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus sphenophylla",6.1,20.2,0.4,0,0,0,0,7.6,1.6,0,30.1,0,0,0.1,0,0.2,0,0.2,0,0,0.2,0,0,0,0,0.1,0,0.4,0,0,0,0.4,0.1,0.1,0,1.3,0.4,0,0,10.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,2.8,0,0.4,0.4,0,0,0,0.4,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0.6,2.1,0,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garcinia macrophylla",0,0,2.9,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guarea guidonia",36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,56.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatteria punctata",14.5,0,0,0,0,0,0,18.3,0,0,0,37.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,1.1,0,0,0.3,1.1,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gustavia hexapetala",0,6.7,0,0,1.8,0,0,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helicostylis tomentosa",0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henriettea fissanthera",0,0,0,0,0,0,0,0.1,4.9,0,0,0,0,0,0,3.4,0,0,0,0.2,3,0,0,0,0,12.2,0,1.8,0.2,0,0,5.3,3.6,0,0,0,0,0.5,0,29,0,0,0,5.6,1,0,0,0,0,0.4,0,0,0,5.6,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,4.9,0,1.2,0.9,3.6,0,0,0,0,0,0,0,0,0,0.1,2.2,0.7,0,0,0,0,0.3,0,0
