"","Anthoscopus caroli","Apalis rufogularis","Arizelocichla masukuensis","Atimastillas flavicollis","Baeopogon indicator","Bathmocercus rufus","Bleda syndactylus","Buccanodon duchaillui","Bycanistes subcylindricus","Campephaga flava","Centropus monachus","Cercopithecus ascanius","Cercopithecus mitis","Chalcomitra amethystina","Chalcomitra senegalensis","Chlorocichla laetissima","Cinnyricinclus leucogaster","Colius striatus","Colobus guereza","Columba larvata","Cossypha heuglini","Cossypha niveicapilla","Cossypha polioptera","Crithagra citrinelloides","Crithagra dorsostriata","Crithagra mozambica","Cuculus clamosus","Cyanomitra olivacea","Cyanomitra verticalis","Dicrurus adsimilis","Elminia longicauda","Eremomela turneri","Estrilda nonnula","Eurillas ansorgei","Eurillas curvirostris","Eurillas latirostris","Eurillas virens","Gymnobucco bonapartei","Heliosciurus rufobrachium","Hylia prasina","Iduna pallida","Laniarius luehderi","Lybius bidentatus","Malimbus rubricollis","Musophaga rossae","Nigrita canicapillus","Nigrita fusconotus","Oriolus auratus","Oriolus brachyrynchus","Papio anubis","Parus albiventris","Parus funereus","Phoenicurus phoenicurus","Phyllastrephus cabanisi","Phyllastrephus hypochloris","Phylloscopus budongoensis","Phylloscopus sibillatrix","Phylloscopus trochilus","Platysteira castanea","Platysteira cyanea","Ploceus baglafecht","Ploceus bicolor","Ploceus insignis","Ploceus melanocephalus","Ploceus nigerrimus","Ploceus nigricollis","Ploceus ocularis","Pogoniulus bilineatus","Prinia bairdii","Prodotiscus insignis","Pseudalethe poliocephala","Pycnonotus barbatus","Schistolais leucopogon","Spermophaga ruficapilla","Stelgidillas gracilirostris","Sylvia atricapilla","Sylvia borin","Sylvia communis","Terpsiphone viridis","Tockus alboterminatus","Trachylaemus purpuratus","Treron calvus","Tricholaema hirsuta","Turdoides sharpei","Turdus abyssinicus","Turdus pelios","Turtur tympanistria","Zosterops senegalensis"
"Peponium vogelii",0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper guineense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Pittosporum viridiflorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Polyscias fulva",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,0,0,0,0,2,0,0,2,42,0,0,0,16,1,0,0,0,0,0,1,0,0,0,0,6
"Prunus africana",0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,1,190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,82,0,0,0,0,0,0,0,0,0,1,0,0,0,70,0,0,3,3,4,0,0,0,0,0,0,0,0,15,0,0
"Psychotria peduncularis",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamnus prinoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2
"Rubus niveus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum mauritianum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,5
"Toddalia asiatica",0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
"Trilepisium madagascariense",0,1,0,0,0,0,0,0,4,0,0,22,67,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified M_SD_034NA.unidsp.1",0,3,28,0,1,0,1,26,24,0,0,11,19,0,0,15,1,0,0,2,0,0,0,14,2,0,0,0,0,0,0,0,0,3,6,21,7,4,0,1,1,0,0,0,2,0,0,1,1,0,0,3,2,0,10,3,0,30,0,0,1,3,2,0,0,0,0,9,1,1,0,128,0,0,3,64,1,0,0,0,6,2,2,0,1,94,1,69
"Unidentified M_SD_034NA.unidsp.2",1,2,1,0,4,0,0,59,61,0,0,19,35,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,0,19,3,0,5,0,0,0,0,0,0,0,0,9,0,9,0,0,4,1,0,39,0,0,0,1,0,3,0,0,0,3,0,0,0,110,0,0,6,23,0,0,0,0,5,0,3,0,6,11,0,1
