"","Anoura caudifer","Anoura cultrata","Anoura peruana","Artibeus glaucus","Artibeus planirostris","Carollia brevicauda","Carollia perspicillata","Chiroderma salvini","Enchisthenes hartii","Glossophaga soricina","Lonchophylla handleyi","Mesophylla macconnelli","Phyllostomus hastatus","Platyrrhinus helleri","Platyrrhinus infuscus","Platyrrhinus masu","Sturnira erythromos","Sturnira lilium","Sturnira magna","Uroderma bilobatum","Vampyressa melissa"
"Solanum Arias-Arone2016.unidsp.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Solanum sessile",0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"Unidentified Arias-Arone2016.unidsp.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Arias-Arone2016.unidsp.2",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Arias-Arone2016.unidsp.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Arias-Arone2016.unidsp.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Unidentified Arias-Arone2016.unidsp.5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Arias-Arone2016.unidsp.6",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Arias-Arone2016.unidsp.7",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Urera Arias-Arone2016.unidsp.1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vismia Arias-Arone2016.unidsp.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
