"","Aburria jacutinga","Attila rufus","Cacicus haemorrhous","Carpornis cucullata","Carpornis melanocephala","Celeus flavescens","Chiroxiphia caudata","Chlorophanes spiza","Chlorophonia cyanea","Cnemotriccus fuscatus","Coereba flaveola","Cyanocorax caeruleus","Dacnis cayana","Elaenia obscura","Euphonia pectoralis","Euphonia violacea","Habia rubica","Hemithraupis guira","Hemithraupis ruficapilla","Ilicura militaris","Lathrotriccus euleri","Legatus leucophaius","Lipaugus lanioides","Manacus manacus","Megarynchus pitangua","Mionectes rufiventris","Myiodynastes maculatus","Orchesticus abeillei","Orthogonys chloricterus","Oxyruncus cristatus","Pachyramphus castaneus","Pachyramphus polychopterus","Pachyramphus viridis","Patagioenas cayennensis","Patagioenas picazuro","Patagioenas plumbea","Penelope obscura","Penelope superciliaris","Phylloscartes oustaleti","Pipraeidea melanonota","Pitangus sulphuratus","Procnias nudicollis","Pyroderus scutatus","Ramphastos dicolorus","Ramphastos vitellinus","Saltator fuliginosus","Schiffornis virescens","Selenidera maculirostris","Sirystes sibilator","Tachyphonus coronatus","Tachyphonus cristatus","Tangara cyanocephala","Tangara cyanoptera","Tangara seledon","Tersina viridis","Thraupis ornata","Thraupis palmarum","Thraupis sayaca","Tityra cayana","Tityra inquisitor","Trichothraupis melanops","Trogon rufus","Trogon viridis","Turdus albicollis","Turdus flavipes","Turdus rufiventris","Vireo olivaceus"
"Guarea macrophylla",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,2,1,0,0
"Hedychium coronarium",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hedyosmum brasiliense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"Heisteria silvianii",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"Hieronyma alchorneoides",0,0,1,0,0,0,0,1,0,0,1,0,1,4,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,1,0,0,2,1,0,2
"Ilex Machado-de-Souza2019.unidsp.909",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,5,4,2,0
"Lauraceae Machado-de-Souza2019.unidsp.402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Leandra aurea",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Leandra australis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Leandra reversa",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
