"","study_id","net_id","latitude","longitude","latlon_id","locality_id","locality","location_notes","region","continental_island","oceanic_island","elevation","season_id","anthro_drivers","data_type","sampling_method","sampling_unit","ind_quant_unit","sampling_hours","sampling_days","sampling_period_months","year","plant_coverage","plant_sampling_type","target_birds","target_bats","target_primates","target_mamm_carns","target_mamm_herbs","target_mamm_others","target_fish","target_herps","specify_nfm_targets","reg"
"Faustino 2006","Faustino 2006","Faustino 2006",-12.8216666,-41.3408333,"10.latlon.id","Parque Municipal de Mucuge","Brazil",NA,"South American","no","no",950,NA,NA,"quant","transect walk","feeding visits","yes",NA,60,"12",2003,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Fleming 1977","Fleming 1977","Fleming 1977",10.85,-85.75,"145.latlon.id","Parque Nacional Santa Rosa","Costa Rica",NA,"Panamanian","no","no",NA,NA,NA,"quant","mistnetting","fecal with species","yes",NA,NA,"13",1975,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Fonseca 2007","Fonseca 2007","Fonseca 2007",-23.4619444,-46.6330555,"61.latlon.id","Parque Estadual Alberto Lofgren","Brazil",NA,"South American","no","no",NA,NA,NA,"bin","trail walk","binary feeding visit","no",NA,NA,"7",2007,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Fontanari 2018","Fontanari 2018","Fontanari 2018",-29.6425,-53.58555,"86.latlon.id","Silveira Martins, Rio Grande do Sul","Brazil",NA,"South American","no","no",500,NA,NA,"bin","trail walk","binary","no",NA,NA,"12",2017,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Foresta 1984","Foresta 1984","Foresta 1984",5.36,-53.1,"264.latlon.id","Sinnamary","French Guiana",NA,"Amazonian","no","no",NA,NA,NA,"quant","mistnetting","fecal with species","yes",NA,300,"not reported",NA,"sub","repr","no","sub","no","no","no","no","no","no",NA,"Neotropical"
"Fricke 2018 Saipan","Fricke 2018","Fricke 2018 Saipan",15.25,145.8,"154.latlon.id","Saipan","Mariana Islands",NA,"Papua-Melansian","no","yes",NA,NA,NA,"quant","focal obs","feeding visits","yes",1200,NA,"16",2013,"sub","stand","comp","no","no","no","no","no","no","comp",NA,"Mariana Islands"
"Fricke 2018 Rota","Fricke 2018","Fricke 2018 Rota",14.15,145.23,"149.latlon.id","Rota","Mariana Islands",NA,"Papua-Melansian","no","yes",NA,NA,NA,"quant","focal obs","feeding visits","yes",1200,NA,"16",2013,"sub","stand","comp","no","no","no","no","no","no","comp",NA,"Mariana Islands"
"Fuentes 1994","Fuentes 1994","Fuentes 1994",42.5,-6.86638889,"255.latlon.id","Mumao, La Barosa","Spain",NA,"Eurasian","no","no",550,NA,NA,"quant","mist netting","fecals with species","yes",NA,NA,"6",1989,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Ganzhorn 1988","Ganzhorn 1988","Ganzhorn 1988",-18.8,48.47,"23.latlon.id","Foret d'Analamazoatra","Madagascar",NA,"Madagascan","yes","no",NA,NA,NA,"bin","animal follows","binary feeding","no",490,NA,"16",1985,"comp","repr","no","no","comp","no","no","no","no","no",NA,"Madagascan"
"Garcia 2014 Wrights Hill","Garcia 2014","Garcia 2014 Wrights Hill",-41.2955555,174.7275,"110.latlon.id","Wrights Hill","New Zealand",NA,"Novozelandic","yes","no",230,NA,NA,"quant","transect walk","feeding visits","yes",NA,17,"4",2012,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Garcia 2014 Zealandia","Garcia 2014","Garcia 2014 Zealandia",-41.2944444,174.746111,"108.latlon.id","Zealandia","New Zealand",NA,"Novozelandic","yes","no",153,NA,NA,"quant","transect walk","feeding visits","yes",NA,17,"4",2012,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Garcia 2014 George Denton","Garcia 2014","Garcia 2014 George Denton",-41.3033333,174.7525,"111.latlon.id","George Denson Park","New Zealand",NA,"Novozelandic","yes","no",238,NA,NA,"quant","transect walk","feeding visits","yes",NA,17,"4",2012,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Garcia 2014 Charles Plimmer","Garcia 2014","Garcia 2014 Charles Plimmer",-41.2925,174.7975,"109.latlon.id","Charles Plimmer Park","New Zealand",NA,"Novozelandic","yes","no",82,NA,NA,"quant","transect walk","feeding visits","yes",NA,17,"4",2012,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Garcia 2014 Northern Town Belt","Garcia 2014","Garcia 2014 Northern Town Belt",-41.2783333,174.7736111,"107.latlon.id","Northern Town Belt","New Zealand",NA,"Novozelandic","yes","no",155,NA,NA,"quant","transect walk","feeding visits","yes",NA,17,"4",2012,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Garcia 2014 Hinau","Garcia 2014","Garcia 2014 Hinau",-42.3483333,173.566666,"119.latlon.id","Hinau Reserve","New Zealand",NA,"Novozelandic","yes","no",237,NA,NA,"quant","transect walk","feeding visits","yes",NA,17,"4",2012,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Garcia 2014 Mount Fyfee Reserve","Garcia 2014","Garcia 2014 Mount Fyfee Reserve",-42.3291666,173.634444,"118.latlon.id","Mount Fyfee Reserve","New Zealand",NA,"Novozelandic","yes","no",405,NA,NA,"quant","transect walk","feeding visits","yes",NA,17,"4",2012,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Garcia 2014 Puhi-Puhi River","Garcia 2014","Garcia 2014 Puhi-Puhi River",-42.2758333,173.7380555,"117.latlon.id","Puhi-Puhi Reserve","New Zealand",NA,"Novozelandic","yes","no",177,NA,NA,"quant","transect walk","feeding visits","yes",NA,17,"4",2012,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Garcia 2014 Blue Duck","Garcia 2014","Garcia 2014 Blue Duck",-42.2361111,173.7855555,"116.latlon.id","Blue Duck Reserve","New Zealand",NA,"Novozelandic","yes","no",390,NA,NA,"quant","transect walk","feeding visits","yes",NA,17,"4",2012,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Garcia 2016","Garcia 2016","Garcia 2016",43.25,-5.97,"261.latlon.id","Sierra de Pena Mayor and Bandujo-Puertos de Marabio","Spain","multiple sites in region","Eurasian","no","no",975,NA,NA,"quant","plot observation","feeding visits","yes",252,NA,"22",2013,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Garcia-Estrada 2012","Garcia-Estrada 2012","Garcia-Estrada 2012",15.16666,-92.333,"153.latlon.id","Motozintla and Tapachula","Guatemala","multiple sites in region","Panamanian","no","no",1315,NA,NA,"quant","mist netting","fecal with species","yes",576,96,"17",2005,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Garcia-Morales 2012","Garcia-Morales 2012","Garcia-Morales 2012",22.11,-99.24,"198.latlon.id","Eastern San Luis Potosi State","Mexico","multiple sites in region","Mexican","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",378,NA,"12",2010,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Gautier-Hion 1985","Gautier-Hion 1985","Gautier-Hion 1985",-0.566666666666667,12.8666666666667,"1.latlon.id","M'passa","Gabon",NA,"Guineo-Congolian","no","no",500,NA,NA,"bin","focal obs, stomach contents","binary","no",NA,NA,"12",1981,"comp","repr","no","no","comp","no","comp","sub","no","no","rodents","Afrotropical"
"Genrich 2017","Genrich 2017","Genrich 2017",-20,-43.93,"38.latlon.id","Belo Horizante","Brazil","multiple sites in region","South American","no","no",NA,NA,NA,"quant","live trapping","seeds","no",NA,61,"6",2013,"comp","repr","no","no","no","sub","no","sub","no","no","small mammals","Neotropical"
"Giannakos 1997 Di","Giannakos 1997","Giannakos 1997 Di",41.49999,24.523979,"248.latlon.id","Paranesti","Greece",NA,"Eurasian","no","no",NA,NA,NA,"quant","found feces","fecal with species","yes",NA,NA,"19",1994,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Palearctic"
"Giannakos 1997 Vf","Giannakos 1997","Giannakos 1997 Vf",41.54884,24.5133,"252.latlon.id","Paranesti","Greece",NA,"Eurasian","no","no",NA,NA,NA,"quant","found feces","fecal with species","yes",NA,NA,"19",1994,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Palearctic"
"Giannakos 1997 KR","Giannakos 1997","Giannakos 1997 KR",41.532697,24.519052,"251.latlon.id","Paranesti","Greece",NA,"Eurasian","no","no",NA,NA,NA,"quant","found feces","fecal with species","yes",NA,NA,"19",1994,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Palearctic"
"Giannakos 1997 Co","Giannakos 1997","Giannakos 1997 Co",41.5116,24.514518,"249.latlon.id","Paranesti","Greece",NA,"Eurasian","no","no",NA,NA,NA,"quant","found feces","fecal with species","yes",NA,NA,"19",1994,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Palearctic"
"Giannakos 1997 Ah","Giannakos 1997","Giannakos 1997 Ah",41.517396,24.527213,"250.latlon.id","Paranesti","Greece",NA,"Eurasian","no","no",NA,NA,NA,"quant","found feces","fecal with species","yes",NA,NA,"19",1994,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Palearctic"
"Githiru 2002","Githiru 2002","Githiru 2002",-3.33333,38.25,"89.latlon.id","Taita Hills","Kenya",NA,"African","no","no",NA,NA,NA,"bin","focal obs","binary","no",NA,180,"8",1998,"sub","stand","sub","no","no","no","no","no","no","no",NA,"Afrotropical"
"Gomes 2013","Gomes 2013","Gomes 2013",-22.575,-43.692,"50.latlon.id","Parque Natural Municipal do Curió","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mistnetting","fecal with species","yes",NA,12,"12",2012,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Gonzalez-Castro 2012 Summer 08","Gonzalez-Castro 2012","Gonzalez-Castro 2012 Summer 08",28.357851,-16.861908888631,"206.latlon.id","Northwest Tenerife","Canary Islands","ISLAND: Canary Islands","Eurasian","no","yes",220,"Summer",NA,"bin","mist netting","binary fecal","no",NA,NA,"3",2008,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Canary Islands"
"Gonzalez-Castro 2012 Autumn 08","Gonzalez-Castro 2012","Gonzalez-Castro 2012 Autumn 08",28.357851,-16.861908888631,"206.latlon.id","Northwest Tenerife","Canary Islands","ISLAND: Canary Islands","Eurasian","no","yes",220,"Autumn",NA,"bin","mist netting","binary fecal","no",NA,NA,"3",2008,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Canary Islands"
"Gonzalez-Castro 2012 Winter 09","Gonzalez-Castro 2012","Gonzalez-Castro 2012 Winter 09",28.357851,-16.861908888631,"206.latlon.id","Northwest Tenerife","Canary Islands","ISLAND: Canary Islands","Eurasian","no","yes",220,"Winter",NA,"bin","mist netting","binary fecal","no",NA,NA,"3",2009,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Canary Islands"
"Gonzalez-Castro 2012 Spring 09","Gonzalez-Castro 2012","Gonzalez-Castro 2012 Spring 09",28.357851,-16.861908888631,"206.latlon.id","Northwest Tenerife","Canary Islands","ISLAND: Canary Islands","Eurasian","no","yes",220,"Spring",NA,"bin","mist netting","binary fecal","no",NA,NA,"3",2009,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Canary Islands"
"Gonzalez-Castro 2012 Winter 10","Gonzalez-Castro 2012","Gonzalez-Castro 2012 Winter 10",28.357851,-16.861908888631,"206.latlon.id","Northwest Tenerife","Canary Islands","ISLAND: Canary Islands","Eurasian","no","yes",220,"Winter",NA,"bin","mist netting","binary fecal","no",NA,NA,"3",2010,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Canary Islands"
"Gonzalez-Castro 2012 Spring 10","Gonzalez-Castro 2012","Gonzalez-Castro 2012 Spring 10",28.357851,-16.861908888631,"206.latlon.id","Northwest Tenerife","Canary Islands","ISLAND: Canary Islands","Eurasian","no","yes",220,"Spring",NA,"bin","mist netting","binary fecal","no",NA,NA,"3",2010,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Canary Islands"
"Gonzalez-Castro 2012 Summer 10","Gonzalez-Castro 2012","Gonzalez-Castro 2012 Summer 10",28.357851,-16.861908888631,"206.latlon.id","Northwest Tenerife","Canary Islands","ISLAND: Canary Islands","Eurasian","no","yes",220,"Summer",NA,"bin","mist netting","binary fecal","no",NA,NA,"3",2010,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Canary Islands"
"Gonzalez-Castro 2012 Autumn 10","Gonzalez-Castro 2012","Gonzalez-Castro 2012 Autumn 10",28.357851,-16.861908888631,"206.latlon.id","Northwest Tenerife","Canary Islands","ISLAND: Canary Islands","Eurasian","no","yes",220,"Autumn",NA,"bin","mist netting","binary fecal","no",NA,NA,"3",2010,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Canary Islands"
"Gorchov 1995","Gorchov 1995","Gorchov 1995",-4.916667,-74.75,"106.latlon.id","Centro de Investigaciones Jenaro Herrera","Peru",NA,"Amazonian","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",1100,NA,"18",1990,"comp","repr","comp","comp","no","no","no","no","no","no",NA,"Neotropical"
"Guillotin 1994","Guillotin 1994","Guillotin 1994",4.03333,-52.66666,"233.latlon.id","Saut Parare","French Guiana",NA,"Amazonian","no","no",NA,NA,NA,"bin","stomach contents","binary","no",NA,NA,"99",1981,"comp","repr","no","no","sub","no","no","no","no","no",NA,"Neotropical"
"Hasui 1998","Hasui 1998","Hasui 1998",-23.55,-46.71667,"62.latlon.id","CUASO Sao Paulo","Brazil",NA,"South American","no","no",NA,NA,NA,"bin","general obs, mist netting","binary fecal or feeding visit","no",NA,NA,"24",1992,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Heithaus 1975","Heithaus 1975","Heithaus 1975",10.463,-85.123,"140.latlon.id","Finca La Pacifica","Costa Rica",NA,"Panamanian","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,NA,"16",1972,"comp","repr","no","sub","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B1 Wet","Hernandez-Montero 2015","Hernandez-Montero 2015 B1 Wet",19.512431,-96.98309,"174.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Wet","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B1 Norte","Hernandez-Montero 2015","Hernandez-Montero 2015 B1 Norte",19.512431,-96.98309,"174.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Norte","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B1 Dry","Hernandez-Montero 2015","Hernandez-Montero 2015 B1 Dry",19.512431,-96.98309,"174.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Dry","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B2 Wet","Hernandez-Montero 2015","Hernandez-Montero 2015 B2 Wet",19.5222,-96.990291,"176.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Wet","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B2 Norte","Hernandez-Montero 2015","Hernandez-Montero 2015 B2 Norte",19.5222,-96.990291,"176.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Norte","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B2 Dry","Hernandez-Montero 2015","Hernandez-Montero 2015 B2 Dry",19.5222,-96.990291,"176.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Dry","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B3 Wet","Hernandez-Montero 2015","Hernandez-Montero 2015 B3 Wet",19.519881,-96.975419,"175.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Wet","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B3 Norte","Hernandez-Montero 2015","Hernandez-Montero 2015 B3 Norte",19.519881,-96.975419,"175.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Norte","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B3 Dry","Hernandez-Montero 2015","Hernandez-Montero 2015 B3 Dry",19.519881,-96.975419,"175.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Dry","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B4 Wet","Hernandez-Montero 2015","Hernandez-Montero 2015 B4 Wet",19.530091,-96.973896,"177.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Wet","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B4 Norte","Hernandez-Montero 2015","Hernandez-Montero 2015 B4 Norte",19.530091,-96.973896,"177.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Norte","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 B4 Dry","Hernandez-Montero 2015","Hernandez-Montero 2015 B4 Dry",19.530091,-96.973896,"177.latlon.id","Veracruz Cloud Forest Fragment","Mexico",NA,"Mexican","no","no",1400,"Dry","forest fragment","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C1 Wet","Hernandez-Montero 2015","Hernandez-Montero 2015 C1 Wet",19.498101,-96.905515,"171.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Wet","coffee plantation","bin","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C1 Norte","Hernandez-Montero 2015","Hernandez-Montero 2015 C1 Norte",19.498101,-96.905515,"171.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Norte","coffee plantation","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C1 Dry","Hernandez-Montero 2015","Hernandez-Montero 2015 C1 Dry",19.498101,-96.905515,"171.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Dry","coffee plantation","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C2 Wet","Hernandez-Montero 2015","Hernandez-Montero 2015 C2 Wet",19.486824,-96.933594,"170.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Wet","coffee plantation","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C2 Norte","Hernandez-Montero 2015","Hernandez-Montero 2015 C2 Norte",19.486824,-96.933594,"170.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Norte","coffee plantation","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C2 Dry","Hernandez-Montero 2015","Hernandez-Montero 2015 C2 Dry",19.486824,-96.933594,"170.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Dry","coffee plantation","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C3 Wet","Hernandez-Montero 2015","Hernandez-Montero 2015 C3 Wet",19.501789,-96.928381,"172.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Wet","coffee plantation","bin","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C3 Norte","Hernandez-Montero 2015","Hernandez-Montero 2015 C3 Norte",19.501789,-96.928381,"172.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Norte","coffee plantation","bin","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C3 Dry","Hernandez-Montero 2015","Hernandez-Montero 2015 C3 Dry",19.501789,-96.928381,"172.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Wet","coffee plantation","bin","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C4 Wet","Hernandez-Montero 2015","Hernandez-Montero 2015 C4 Wet",19.501342,-96.929803,"172.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Norte","coffee plantation","bin","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C4 Norte","Hernandez-Montero 2015","Hernandez-Montero 2015 C4 Norte",19.501342,-96.929803,"172.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Dry","coffee plantation","quant","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hernandez-Montero 2015 C4 Dry","Hernandez-Montero 2015","Hernandez-Montero 2015 C4 Dry",19.501342,-96.929803,"172.latlon.id","Veracruz Shaded Coffee Plantations","Mexico",NA,"Mexican","no","no",1400,"Wet","coffee plantation","bin","mist netting","fecal with species","yes",NA,8,"3",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Hladik 1969","Hladik 1969","Hladik 1969",9.15,-79.85,"298.latlon.id","Barro Colorado Island","Panama",NA,"Panamanian","no","no",NA,NA,NA,"bin","animal follows","binary feeding","no",NA,NA,"14",1967,"comp","repr","no","no","comp","no","no","no","no","no",NA,"Panamanian"
"Hladik 1972","Hladik 1972","Hladik 1972",7.93,80.96,"290.latlon.id","Polonnaruwa","Sri Lanka",NA,"Oriental","yes","no",NA,NA,NA,"bin","animal follows","binary feeding","no",268,NA,"12",1970,"comp","repr","no","no","comp","no","no","no","no","no",NA,"Oriental"
"Hodgkison 2001","Hodgkison 2001","Hodgkison 2001",3.716667,102.283333,"214.latlon.id","Kuala Lompat, Krau Game Reserve.","Malaysia",NA,"Indo-Malayan","no","no",NA,NA,NA,"bin","mistnetting","binary","no",10000,NA,"18",1998,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Oriental"
"Houle 2010","Houle 2010","Houle 2010",0.55,30.416666,"135.latlon.id","Kibale National Park","Uganda",NA,"African","no","no",NA,NA,NA,"quant","focal obs, animal follows","feeding visits","yes",7289,NA,"68",2002,"comp","repr","no","no","sub","no","no","no","no","no",NA,"Afrotropical"
"Hovestadt 1997","Hovestadt 1997","Hovestadt 1997",8.722,-3.8,"295.latlon.id","Comoe National Park","Côte d'Ivoire",NA,"African","no","no",NA,NA,NA,"quant","focal obs","feeding visits","yes",447,NA,"not reported",NA,"sub","repr","comp","no","comp","no","comp","sub","no","no","squirrels","Afrotropical"
"Howe 1984","Howe 1984","Howe 1984",10.43333,-83.98333,"139.latlon.id","La Selva","Costa Rica",NA,"Panamanian","no","no",NA,NA,NA,"bin","general obs","binary feeding visit","no",NA,NA,"not reported",NA,"sub","repr","sub","no","no","no","no","no","no","no",NA,"Panamanian"
"Ikuta 2013","Ikuta 2013","Ikuta 2013",-23.36667,-46.6,"60.latlon.id","Parque Estadual da Cantareira","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","trail walk","feeding visits","yes",178,NA,"6",2009,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Innis 1989 ANVF","Innis 1989","Innis 1989 ANVF",-26.7,152.437,"79.latlon.id","Jimna","Australia",NA,"Australian","no","no",470,NA,NA,"bin","transect walk","binary","no",62,NA,"59",1982,"sub","repr","sub","no","no","no","no","no","no","no",NA,"Australian"
"Innis 1989 NVF CNVF","Innis 1989","Innis 1989 NVF CNVF",-26.7,152.6,"80.latlon.id","Conondale","Australia",NA,"Australian","no","no",675,NA,NA,"bin","transect walk","binary","no",160,NA,"59",1982,"sub","repr","sub","no","no","no","no","no","no","no",NA,"Australian"
"Jaroszewicz 2013","Jaroszewicz 2013","Jaroszewicz 2013",52.84167,23.825,"281.latlon.id","Bialowieza Forest","Poland",NA,"Eurasian","no","no",NA,NA,NA,"quant","found feces","seeds","no",NA,NA,"50",2007,"comp","repr","no","no","no","no","comp","no","no","no",NA,"Palearctic"
"Jayasekara 2003","Jayasekara 2003","Jayasekara 2003",6.4,80.548,"288.latlon.id","Sinharaja","Sri Lanka",NA,"Oriental","yes","no",NA,NA,NA,"quant","camera trapping","visits","yes",NA,NA,"18",2001,"sub","stand","sub","sub","sub","sub","no","sub","no","no","rodents","Oriental"
"Jayasekara 2007","Jayasekara 2007","Jayasekara 2007",6.4,80.548,"288.latlon.id","Sinharaja","Sri Lanka",NA,"Oriental","yes","no",NA,NA,NA,"quant","camera trapping","visits","yes",NA,NA,"18",2001,"sub","stand","sub","sub","sub","sub","sub","sub","no","no","rodents","Oriental"
"Junior 2010","Junior 2010","Junior 2010",-22.1878444444444,-47.4488055555556,"45.latlon.id","Fazenda Escola Bela Vista de Leme","Brazil",NA,"South American","no","no",NA,NA,NA,"bin","mistnetting","binary fecal with species","no",110,NA,"8",2009,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Kamruzzaman 2008","Kamruzzaman 2008","Kamruzzaman 2008",22.47226,91.78878,"199.latlon.id","Chittagong University Campus","Bangladesh",NA,"Oriental","no","no",NA,NA,NA,"quant","general obs","feeding visits","yes",NA,NA,"12",2004,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Oriental"
"Kessler-Rios 2012","Kessler-Rios 2012","Kessler-Rios 2012",4.71666667,-75.5666,"238.latlon.id","Santuario de Fauna y Flora Otun Quimbaya","Colombia",NA,"Amazonian","no","no",1950,NA,NA,"quant","focal obs, fecal","feeding visit, fecal with feces","yes",NA,NA,"6",2002,"sub","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
