"","study_id","net_id","latitude","longitude","latlon_id","locality_id","locality","location_notes","region","continental_island","oceanic_island","elevation","season_id","anthro_drivers","data_type","sampling_method","sampling_unit","ind_quant_unit","sampling_hours","sampling_days","sampling_period_months","year","plant_coverage","plant_sampling_type","target_birds","target_bats","target_primates","target_mamm_carns","target_mamm_herbs","target_mamm_others","target_fish","target_herps","specify_nfm_targets","reg"
"M_SD_012","M_SD_012","M_SD_012",-22.816667,-47.1,"56.latlon.id","Santa Genebra Reserve","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","trail walk","feeding bouts","yes",NA,NA,"44",1990,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"M_SD_013","M_SD_013","M_SD_013",10.683333,123.183333,"142.latlon.id","North Negros Forest Reserve, Central Philippi","Philippines",NA,"Indo-Malayan","yes","no",NA,NA,NA,"bin","general obs, mist netting, found feces","bin feeding visits","no",NA,55,"11",1996,"comp","repr","comp","comp","no","no","sub","no","no","no",NA,"Oriental"
"M_SD_014","M_SD_014","M_SD_014",37.180449,-6.324044,"224.latlon.id","Hato Ratón, Sevilla. Spain","Spain",NA,"Eurasian","no","no",NA,NA,NA,"bin","transect walk","bin feeding visit","no",NA,98,"28",1982,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"M_SD_015","M_SD_015","M_SD_015",18.506978,-89.486184,"169.latlon.id","Campeche state, Mexico","Mexico",NA,"Panamanian","no","no",NA,NA,NA,"bin","focal obs","bin feeding visit","no",320,NA,"3.5",1975,"sub","stand","sub","no","no","no","no","no","no","no",NA,"Panamanian"
"M_SD_016","M_SD_016","M_SD_016",3.716667,102.283333,"214.latlon.id","Kuala Lompat, Krau Game Reserve.","Malaysia",NA,"Indo-Malayan","no","no",NA,NA,NA,"bin","focal obs","bin feeding visit","no",750,NA,"32",1985,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Oriental"
"M_SD_017","M_SD_017","M_SD_017",0.166667,11.583333,"132.latlon.id","Gabon, Africa","Gabon",NA,"Guineo-Congolian","no","no",NA,NA,NA,"bin","general obs","bin feeding visit","no",NA,NA,"120",1988,"sub","repr","no","no","comp","no","no","no","no","no",NA,"Afrotropical"
"M_SD_018","M_SD_018","M_SD_018",-6.723333,145.093333,"127.latlon.id","Crater Mountain Biological Research Station, ","Papua New Guinea",NA,"Papua-Melansian","yes","no",NA,NA,NA,"bin","general obs, mist netting","bin feeding visit or fecal","no",NA,1000,"43",1991,"comp","stand","comp","no","no","no","no","no","no","no",NA,"Oceanian"
"M_SD_019","M_SD_019","M_SD_019",10.3,-84.8,"136.latlon.id","Monteverde, Costa Rica ","Costa Rica",NA,"Panamanian","no","no",1425,NA,NA,"bin","general obs, focal obs, mist netting","bin feeding visit","no",NA,NA,"20",1981,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"M_SD_020","M_SD_020","M_SD_020",37.927466,-2.866349,"227.latlon.id","Nava Correhuelas. S. Cazorla, SE Spain.","Spain",NA,"Eurasian","no","no",NA,NA,NA,"quant","general obs","feeding visits","yes",NA,NA,NA,1989,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"M_SD_021","M_SD_021","M_SD_021",37.9409,-2.792725,"228.latlon.id","Nava Noguera, Sierra de Cazorla, SE Spain","Spain",NA,"Eurasian","no","no",NA,NA,NA,"bin","general obs","bin feeding visit","no",NA,NA,NA,1989,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"M_SD_022","M_SD_022","M_SD_022",-24.265278,-48.406944,"69.latlon.id","Intervales and Saibadela, São Paulo, Brazil","Brazil",NA,"South American","no","no",NA,NA,NA,"bin","transect walk, focal obs","bin feeding visit","no",NA,NA,"15",2000,"comp","repr","comp","comp","comp","comp","comp","no","no","no","tapir","Neotropical"
"M_SD_024","M_SD_024","M_SD_024",42.813991,-6.90265,"257.latlon.id","NW Spain temperte forest","Spain",NA,"Eurasian","no","no",NA,NA,NA,"bin","general obs","bin","no",NA,NA,NA,1981,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"M_SD_026","M_SD_026","M_SD_026",37.107992,-3.385732,"223.latlon.id","Campos de Otero, Sierra Nevada","Spain",NA,"Eurasian","no","no",NA,NA,NA,"bin","transect walk, focal obs","bin fruit consumed","no",NA,NA,NA,1987,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Palearctic"
"M_SD_027","M_SD_027","M_SD_027",37.927466,-2.866349,"227.latlon.id","Cañada de las Sabinas, Nava de las Correhuelas, Sierra de Cazorla","Spain",NA,"Eurasian","no","no",NA,NA,NA,"bin","transect walk, focal obs","bin fruit consumed","no",NA,NA,NA,1987,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Palearctic"
"M_SD_028","M_SD_028","M_SD_028",38.083333,-2.75,"229.latlon.id","Cañada Travina, Sierra de Cazorla","Spain",NA,"Eurasian","no","no",NA,NA,NA,"bin","transect walk, focal obs","bin fruit consumed","no",NA,NA,NA,1987,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Palearctic"
"M_SD_029","M_SD_029","M_SD_029",37.022627,-6.545233,"221.latlon.id","Sabinar del Marqués, Reserva de la Estación Biológica de Doñana","Spain",NA,"Eurasian","no","no",NA,NA,NA,"bin","transect walk, focal obs","bin fruit consumed","no",NA,NA,NA,1987,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Palearctic"
"M_SD_030","M_SD_030","M_SD_030",37.380506,-2.841994,"225.latlon.id","Santa Bárbara, Sierra de Baza","Spain",NA,"Eurasian","no","no",NA,NA,NA,"bin","transect walk, focal obs","bin fruit consumed","no",NA,NA,NA,1987,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Palearctic"
"M_SD_031","M_SD_031","M_SD_031",37.795017,-25.185375,"226.latlon.id","Serra da Tronqueira","Azores","ISLAND: Azores","Eurasian","no","yes",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,NA,NA,2006,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Azores"
"M_SD_032","M_SD_032","M_SD_032",9.13,-79.72,"297.latlon.id","Soberanía National Park","Panama",NA,"Panamanian","no","no",NA,NA,NA,"quant","forced regurgitation","fecal with species","yes",NA,NA,"14",1994,"sub","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"M_SD_033","M_SD_033","M_SD_033",9.13,-79.72,"297.latlon.id","Soberanía National Park","Panama",NA,"Panamanian","no","no",NA,NA,NA,"quant","forced regurgitation","fecal with species","yes",NA,NA,"14",1994,"sub","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"M_SD_034","M_SD_034","M_SD_034",0.295833,34.786111,"134.latlon.id","Kakamega Forest, Kenya","Kenya",NA,"African","no","no",1600,NA,NA,"quant","focal obs","frugivore visits","yes",NA,NA,"4",2008,"sub","repr","comp","no","comp","no","no","no","no","no",NA,"Afrotropical"
